N,microF1,macroF1,accuracy,overall_time,cm,vectorizer_fitting,training_time,predicting_time
10,0.7785016286644951,0.6570992253423594,0.7785016286644951,50.61084818840027,"[[ 76  11   2   0]
 [ 18  41  12   4]
 [  6  46 341   1]
 [  2   4  30  20]]",49.485602140426636,1.1166107654571533,0.003113269805908203
11,0.7785016286644951,0.6552669796720614,0.7785016286644951,50.09558606147766,"[[ 76  11   2   0]
 [ 16  39  16   4]
 [  5  44 343   2]
 [  2   4  30  20]]",48.93075346946716,1.1561717987060547,0.003201723098754883
14,0.783387622149837,0.6642771948004904,0.7833876221498371,50.37495136260986,"[[ 76  10   3   0]
 [ 12  39  20   4]
 [  3  44 346   1]
 [  1   5  30  20]]",49.00708889961243,1.3588554859161377,0.003572225570678711
17,0.8175895765472313,0.6876147515326044,0.8175895765472313,50.33460974693298,"[[ 79   9   1   0]
 [ 11  39  20   5]
 [  5  24 364   1]
 [  1   7  28  20]]",48.81958723068237,1.505878210067749,0.003756999969482422
20,0.7996742671009772,0.6293403094196136,0.7996742671009772,50.019739389419556,"[[ 77  11   1   0]
 [ 12  36  25   2]
 [  5  22 367   0]
 [  1  10  34  11]]",48.319382667541504,1.6910336017608643,0.003976583480834961
24,0.8078175895765473,0.6465207156308851,0.8078175895765473,50.39261484146118,"[[ 75  13   1   0]
 [ 12  37  23   3]
 [  4  19 371   0]
 [  0   6  37  13]]",48.44377589225769,1.9390919208526611,0.004329204559326172
28,0.8078175895765473,0.6434280052705685,0.8078175895765473,50.66326928138733,"[[ 70  17   2   0]
 [  9  46  16   4]
 [  4  20 369   1]
 [  0   9  36  11]]",48.52769160270691,2.1255695819854736,0.0044558048248291016
34,0.8094462540716613,0.6278313474170769,0.8094462540716613,51.44624066352844,"[[ 70  17   1   1]
 [  9  50  13   3]
 [  2  20 370   2]
 [  0  11  38   7]]",48.96628212928772,2.4689221382141113,0.005504131317138672
41,0.8208469055374592,0.6434229508444365,0.8208469055374593,51.167524099349976,"[[ 71  16   1   1]
 [  5  53  13   4]
 [  0  19 373   2]
 [  0  14  35   7]]",48.308676958084106,2.8469078540802,0.006409645080566406
49,0.8355048859934854,0.6561806110559897,0.8355048859934854,51.83100414276123,"[[ 73  14   1   1]
 [  3  56  15   1]
 [  1  13 378   2]
 [  0  16  34   6]]",48.56492590904236,3.2529683113098145,0.007400989532470703
58,0.8469055374592833,0.6759103358984129,0.8469055374592834,52.1706964969635,"[[ 74  13   1   1]
 [  3  58  13   1]
 [  0  11 381   2]
 [  0  14  35   7]]",48.547178983688354,3.6100521087646484,0.007980108261108398
70,0.8517915309446255,0.681519491831565,0.8517915309446255,53.120317459106445,"[[ 72  15   1   1]
 [  1  61  12   1]
 [  0   9 383   2]
 [  1  13  35   7]]",48.84572768211365,4.260064363479614,0.009111881256103516
83,0.8534201954397395,0.6890312390159863,0.8534201954397395,54.1722457408905,"[[ 72  16   1   0]
 [  1  63  11   0]
 [  0  12 381   1]
 [  1  15  32   8]]",49.22065186500549,4.934712648391724,0.010845422744750977
100,0.8550488599348536,0.6835202034644645,0.8550488599348535,54.636879205703735,"[[ 72  16   1   0]
 [  2  64   9   0]
 [  0  11 382   1]
 [  1  16  32   7]]",48.95473837852478,5.664097547531128,0.012298583984375
119,0.8664495114006515,0.7003955425358652,0.8664495114006515,55.38239407539368,"[[ 75  14   0   0]
 [  2  62  11   0]
 [  0   6 387   1]
 [  1  16  31   8]]",48.958696126937866,6.403162002563477,0.015094280242919922
142,0.8664495114006515,0.7013054006027377,0.8664495114006515,56.609492778778076,"[[ 76  13   0   0]
 [  1  62  12   0]
 [  0   7 386   1]
 [  1  18  29   8]]",49.146777629852295,7.439762592315674,0.017516613006591797
170,0.8648208469055375,0.7001136666747497,0.8648208469055375,57.76940655708313,"[[ 73  16   0   0]
 [  1  63  11   0]
 [  0   7 386   1]
 [  0  23  24   9]]",49.2969925403595,8.446446895599365,0.02055811882019043
203,0.8566775244299675,0.692957212299885,0.8566775244299675,58.72277045249939,"[[ 70  19   0   0]
 [  2  66   7   0]
 [  2  10 380   2]
 [  2  24  20  10]]",48.80496597290039,9.887962818145752,0.024414539337158203
242,0.8517915309446255,0.6826522019652295,0.8517915309446255,60.51944184303284,"[[ 66  23   0   0]
 [  3  65   7   0]
 [  4   7 382   1]
 [  3  20  23  10]]",48.99810743331909,11.487584829330444,0.02832770347595215
289,0.8452768729641694,0.6628574799433695,0.8452768729641694,63.271366596221924,"[[ 64  25   0   0]
 [  3  67   5   0]
 [  4   9 380   1]
 [  3  24  21   8]]",49.602134704589844,13.627915382385254,0.0359039306640625
345,0.8485342019543974,0.6689636705306908,0.8485342019543974,65.11352944374084,"[[ 65  24   0   0]
 [  4  67   4   0]
 [  4   9 380   1]
 [  3  29  15   9]]",49.365989685058594,15.699263572692871,0.0428471565246582
412,0.8403908794788274,0.6641953222401644,0.8403908794788274,67.16763830184937,"[[ 68  21   0   0]
 [  3  65   6   1]
 [  8  11 374   1]
 [  3  30  14   9]]",48.89289903640747,18.21651864051819,0.05280423164367676
492,0.8338762214983714,0.653363595095925,0.8338762214983714,70.20974326133728,"[[ 62  27   0   0]
 [  4  65   6   0]
 [  5  11 376   2]
 [  2  28  17   9]]",49.15258240699768,20.989847898483276,0.061850786209106445
587,0.8387622149837133,0.6615031280266277,0.8387622149837134,73.64464950561523,"[[ 67  22   0   0]
 [  5  64   5   1]
 [  4  14 375   1]
 [  2  30  15   9]]",49.31887769699097,24.245821475982666,0.0745849609375
701,0.8420195439739414,0.6669811547017976,0.8420195439739414,77.82945919036865,"[[ 64  25   0   0]
 [  4  66   5   0]
 [  7   9 377   1]
 [  2  30  14  10]]",49.48944449424744,28.244945526123047,0.08963155746459961
837,0.8322475570032573,0.6511655666841238,0.8322475570032574,82.92645502090454,"[[ 66  23   0   0]
 [  4  65   6   0]
 [  2  17 372   3]
 [  3  32  13   8]]",50.02442121505737,32.79060339927673,0.1060025691986084
1000,0.8355048859934854,0.6634619344706859,0.8355048859934854,87.75412678718567,"[[ 69  20   0   0]
 [  5  64   6   0]
 [  1  17 371   5]
 [  2  30  15   9]]",49.457911252975464,38.16913414001465,0.12162137031555176
1193,0.8306188925081432,0.6586340983740165,0.8306188925081434,94.77292895317078,"[[ 66  23   0   0]
 [  3  64   8   0]
 [  1  19 371   3]
 [  2  29  16   9]]",49.932865619659424,44.67451882362366,0.16014480590820312
1425,0.8208469055374592,0.6614363941479501,0.8208469055374593,102.76439881324768,"[[ 53  36   0   0]
 [  2  67   6   0]
 [  2  18 370   4]
 [  1  26  15  14]]",50.210028409957886,52.37709832191467,0.17187023162841797
1701,0.8224755700325732,0.6636886464002024,0.8224755700325733,109.51872730255127,"[[ 53  35   1   0]
 [  2  68   5   0]
 [  2  18 370   4]
 [  1  26  15  14]]",50.587663888931274,58.72747468948364,0.19809985160827637
2030,0.8175895765472313,0.639097442162272,0.8175895765472313,117.48313593864441,"[[ 49  39   1   0]
 [  2  68   5   0]
 [  1  17 374   2]
 [  1  27  17  11]]",50.06214499473572,67.18899607658386,0.22654080390930176
2424,0.8257328990228013,0.6399121714622797,0.8257328990228013,128.6687216758728,"[[ 56  31   2   0]
 [  2  66   7   0]
 [  2  13 377   2]
 [  1  24  23   8]]",50.34802508354187,78.05496001243591,0.2602243423461914
2894,0.8224755700325732,0.6366808775827362,0.8224755700325733,139.2410101890564,"[[ 56  32   0   1]
 [  2  67   6   0]
 [  1  17 374   2]
 [  2  25  21   8]]",50.48651695251465,88.44665026664734,0.3023409843444824
3455,0.8061889250814334,0.5997059348805331,0.8061889250814332,153.84096717834473,"[[ 55  33   0   1]
 [  3  59  13   0]
 [  1  16 376   1]
 [  0  25  26   5]]",51.08672595024109,102.40184378623962,0.3469254970550537
4124,0.8110749185667753,0.599623672034222,0.8110749185667753,170.53279376029968,"[[ 56  32   0   1]
 [  2  59  14   0]
 [  0  14 379   1]
 [  2  20  30   4]]",51.47392773628235,118.65204977989197,0.40143585205078125
4923,0.8143322475570032,0.6001795305845826,0.8143322475570033,192.27462077140808,"[[ 51  33   5   0]
 [  1  64  10   0]
 [  0  13 381   0]
 [  0  24  28   4]]",51.820584297180176,139.9735085964203,0.47503185272216797
5878,0.8110749185667753,0.6015644139805502,0.8110749185667753,212.6839861869812,"[[ 50  36   3   0]
 [  1  63  11   0]
 [  1  13 380   0]
 [  0  22  29   5]]",52.18205261230469,159.93657088279724,0.5598843097686768
7017,0.7899022801302932,0.5667603520902877,0.7899022801302932,239.32522225379944,"[[ 44  43   2   0]
 [  1  64  10   0]
 [  1  20 373   0]
 [  0  31  21   4]]",52.755534648895264,185.92526602745056,0.6389298439025879
