N,microF1,macroF1,accuracy,overall_time,cm,vectorizer_fitting,training_time,predicting_time
100,0.8550488599348536,0.6835202034644645,0.8550488599348535,54.45599865913391,"[[ 72  16   1   0]
 [  2  64   9   0]
 [  0  11 382   1]
 [  1  16  32   7]]",48.71154260635376,5.57672905921936,0.012812137603759766
117,0.8680781758957655,0.7025335558472674,0.8680781758957655,55.78677272796631,"[[ 75  14   0   0]
 [  2  64   9   0]
 [  0   7 386   1]
 [  1  17  30   8]]",49.5784387588501,6.188018083572388,0.014496564865112305
137,0.8631921824104235,0.6955767364624742,0.8631921824104235,56.96492910385132,"[[ 75  14   0   0]
 [  2  62  11   0]
 [  0   8 385   1]
 [  1  19  28   8]]",49.886027812957764,7.056061029434204,0.017359495162963867
161,0.8664495114006515,0.6947260395509793,0.8664495114006515,58.22260808944702,"[[ 72  17   0   0]
 [  1  64  10   0]
 [  0   6 388   0]
 [  1  22  25   8]]",50.13628935813904,8.058961153030396,0.021855831146240234
188,0.8534201954397395,0.681143788026509,0.8534201954397395,59.445252656936646,"[[ 70  19   0   0]
 [  2  63  10   0]
 [  0  10 383   1]
 [  0  22  26   8]]",50.27045822143555,9.145961046218872,0.023397445678710938
221,0.8566775244299675,0.69295049411485,0.8566775244299675,60.26485276222229,"[[ 69  20   0   0]
 [  2  66   7   0]
 [  2   9 381   2]
 [  3  20  23  10]]",49.52504062652588,10.708642721176147,0.025730133056640625
259,0.8517915309446255,0.6887572768918353,0.8517915309446255,61.840418100357056,"[[ 66  23   0   0]
 [  3  67   5   0]
 [  3   9 379   3]
 [  3  21  21  11]]",49.57330393791199,12.23118281364441,0.0304410457611084
303,0.8469055374592833,0.6655509017884922,0.8469055374592834,64.04888987541199,"[[ 65  24   0   0]
 [  3  67   5   0]
 [  4   9 380   1]
 [  3  24  21   8]]",49.940584897994995,14.065337181091309,0.03737783432006836
356,0.8436482084690554,0.6609720607701126,0.8436482084690554,66.20762014389038,"[[ 62  27   0   0]
 [  4  67   4   0]
 [  4   9 380   1]
 [  3  29  15   9]]",50.12715554237366,16.032535076141357,0.04241514205932617
417,0.8420195439739414,0.6649811832604595,0.8420195439739414,68.03508830070496,"[[ 68  21   0   0]
 [  3  65   6   1]
 [  8  10 375   1]
 [  4  29  14   9]]",49.54705333709717,18.433128833770752,0.04929542541503906
489,0.8355048859934854,0.6552461931898834,0.8355048859934854,71.16336178779602,"[[ 63  26   0   0]
 [  4  65   6   0]
 [  6  10 376   2]
 [  3  27  17   9]]",49.921741008758545,21.17780828475952,0.058259010314941406
573,0.8403908794788274,0.6580506816792342,0.8403908794788274,74.25377821922302,"[[ 66  23   0   0]
 [  4  66   4   1]
 [  5  12 376   1]
 [  2  29  17   8]]",50.19402194023132,23.971413373947144,0.08289146423339844
672,0.8436482084690554,0.669514185633315,0.8436482084690554,77.71865797042847,"[[ 65  24   0   0]
 [  4  66   5   0]
 [  6  10 377   1]
 [  2  31  13  10]]",50.21289587020874,27.403806447982788,0.09647488594055176
