N,microF1,macroF1,accuracy,overall_time,cm,vectorizer_fitting,training_time,predicting_time
15,0.8631921824104235,0.7267315110375163,0.8631921824104235,182.12714505195618,"[[ 82   4   1   2]
 [  4  28  25  18]
 [  1   2 391   0]
 [  1   6  20  29]]",49.48116087913513,132.62426137924194,0.009589433670043945
21,0.8713355048859935,0.7526744836742858,0.8713355048859935,207.2031533718109,"[[ 86   2   0   1]
 [  5  34  24  12]
 [  2   3 386   3]
 [  1   8  18  29]]",48.80650091171265,158.3692696094513,0.01636815071105957
28,0.8843648208469054,0.7691962445063312,0.8843648208469055,222.54944801330566,"[[ 86   1   0   2]
 [  5  38  21  11]
 [  1   0 392   1]
 [  2   6  21  27]]",49.18515396118164,173.35639238357544,0.0011091232299804688
38,0.8876221498371335,0.768018104676179,0.8876221498371335,240.7740330696106,"[[ 86   3   0   0]
 [  3  43  17  12]
 [  1   0 392   1]
 [  1  12  19  24]]",49.62271809577942,191.13573718070984,0.008864164352416992
51,0.8925081433224755,0.7556826344517298,0.8925081433224755,223.8443739414215,"[[ 86   2   0   1]
 [  1  56  12   6]
 [  1   1 391   1]
 [  2  21  18  15]]",49.092159271240234,174.73383235931396,0.005904674530029297
69,0.8990228013029317,0.755356682993003,0.8990228013029316,212.56618642807007,"[[ 85   3   0   1]
 [  2  64   6   3]
 [  2   1 390   1]
 [  3  25  15  13]]",49.34068441390991,163.20525479316711,0.009288787841796875
93,0.9055374592833876,0.7657006611230471,0.9055374592833876,241.86478066444397,"[[ 85   4   0   0]
 [  2  69   3   1]
 [  2   2 389   1]
 [  2  27  14  13]]",48.95688533782959,192.8911325931549,0.010056734085083008
125,0.9104234527687296,0.7683289567915971,0.9104234527687296,223.07942748069763,"[[ 85   4   0   0]
 [  1  69   3   2]
 [  1   1 392   0]
 [  1  31  11  13]]",49.30793309211731,173.74151992797852,0.016213417053222656
169,0.9006514657980456,0.7501513741045048,0.9006514657980456,255.62875962257385,"[[ 82   7   0   0]
 [  2  69   2   2]
 [  1   3 390   0]
 [  1  32  11  12]]",49.53172039985657,206.07826137542725,0.005096912384033203
227,0.8973941368078175,0.7464585630577933,0.8973941368078175,292.7108931541443,"[[ 84   5   0   0]
 [  2  70   2   1]
 [  3   5 386   0]
 [  1  31  13  11]]",49.17098307609558,243.52956700325012,0.0035343170166015625
305,0.8941368078175895,0.7579404959632621,0.8941368078175895,254.96630716323853,"[[ 86   2   0   1]
 [  4  65   3   3]
 [  6   5 383   0]
 [  1  29  11  15]]",50.16428756713867,204.79101181030273,0.004339933395385742
411,0.8908794788273615,0.7389838751671972,0.8908794788273615,276.28819823265076,"[[ 85   4   0   0]
 [  3  66   4   2]
 [  2   8 384   0]
 [  0  39   5  12]]",49.422446489334106,226.85201025009155,0.007053852081298828
553,0.9006514657980456,0.7619090140953259,0.9006514657980456,278.7304480075836,"[[ 86   3   0   0]
 [  3  68   2   2]
 [  2   7 385   0]
 [  0  34   8  14]]",49.50269174575806,229.21199822425842,0.009158849716186523
743,0.8843648208469054,0.7420269196499144,0.8843648208469055,295.5509078502655,"[[ 80   9   0   0]
 [  3  69   2   1]
 [  2  11 380   1]
 [  0  37   5  14]]",49.820486068725586,245.7057318687439,0.018052339553833008
1000,0.8925081433224755,0.7566625461837296,0.8925081433224755,285.86089038848877,"[[ 81   8   0   0]
 [  2  71   1   1]
 [  4   8 381   1]
 [  0  35   6  15]]",49.789259910583496,236.0427303314209,0.022295236587524414
