N,microF1,macroF1,accuracy,cm,coverage,clf,eval_df
10,0.5462265522757016,0.4130344679155617,0.5462265522757016,"[[ 1327   145    63  4708]
 [  328   658   182  6396]
 [   23    21  1914  3334]
 [  112    68   223 14883]]",0.6904464155881925,LinearSVC(dual=False),web crawl 10%
12,0.5551548640395522,0.42999469400865686,0.5551548640395522,"[[ 1550   136    62  4495]
 [  414   677   188  6285]
 [   37    22  2016  3217]
 [  141    65   234 14846]]",0.8348989384906209,LinearSVC(dual=False),web crawl 10%
16,0.5849643740002908,0.48341464814955354,0.5849643740002908,"[[ 1836   336    67  4004]
 [  493  1047   217  5807]
 [   36    33  2447  2776]
 [  127    94   281 14784]]",1.073956667151374,LinearSVC(dual=False),web crawl 10%
20,0.5958702922786099,0.501440458052418,0.5958702922786099,"[[ 1961   349    66  3867]
 [  535  1118   223  5688]
 [   47    55  2652  2538]
 [  129   106   293 14758]]",1.3636469390722699,LinearSVC(dual=False),web crawl 10%
25,0.6107895884833503,0.5264722607834101,0.6107895884833503,"[[ 2197   387    61  3598]
 [  610  1275   236  5443]
 [   55    60  2841  2336]
 [  134   144   319 14689]]",1.6923367747564344,LinearSVC(dual=False),web crawl 10%
32,0.6222189908390287,0.544844527161351,0.6222189908390287,"[[ 2381   437    59  3366]
 [  688  1441   241  5194]
 [   62    70  2920  2240]
 [  141   188   304 14653]]",1.988163443361931,LinearSVC(dual=False),web crawl 10%
41,0.630478406281809,0.5584569067440033,0.630478406281809,"[[ 2479   461    60  3243]
 [  701  1579   240  5044]
 [   62    77  3006  2147]
 [  155   218   298 14615]]",2.381503562599971,LinearSVC(dual=False),web crawl 10%
52,0.6436236731132762,0.5786405855602231,0.6436236731132762,"[[ 2620   539    59  3025]
 [  752  1885   233  4694]
 [   88   105  3049  2050]
 [  160   261   288 14577]]",2.8692453104551405,LinearSVC(dual=False),web crawl 10%
67,0.6560709611749309,0.5958060303144276,0.6560709611749309,"[[ 2790   623    57  2773]
 [  811  2084   238  4431]
 [  115   122  3123  1932]
 [  157   275   292 14562]]",3.5252581067325868,LinearSVC(dual=False),web crawl 10%
85,0.6690708157626872,0.6135671803428813,0.6690708157626872,"[[ 3025   618    53  2547]
 [  886  2249   242  4187]
 [  121   133  3183  1855]
 [  172   281   284 14549]]",4.144394358004944,LinearSVC(dual=False),web crawl 10%
108,0.6786098589501236,0.627365154208207,0.6786098589501236,"[[ 3161   634    52  2396]
 [  906  2418   246  3994]
 [  164   148  3272  1708]
 [  176   343   284 14483]]",4.7892394939653915,LinearSVC(dual=False),web crawl 10%
137,0.6896611894721536,0.6416920233646926,0.6896611894721536,"[[ 3335   684    54  2170]
 [  975  2615   246  3728]
 [  191   150  3316  1635]
 [  179   375   284 14448]]",5.506209102806456,LinearSVC(dual=False),web crawl 10%
174,0.6989094081721681,0.6542553022123274,0.6989094081721681,"[[ 3459   702    56  2026]
 [  998  2774   256  3536]
 [  210   146  3406  1530]
 [  188   418   287 14393]]",6.383713828704377,LinearSVC(dual=False),web crawl 10%
