N,microF1,macroF1,accuracy,cm,coverage,clf,eval_df
10,0.3879307837719936,0.34874627016075554,0.3879307837719936,"[[6136   21   65   21]
 [6278  457  624  205]
 [2926   22 2277   67]
 [8359   38 2420 4469]]",0.6904464155881925,GaussianNB(),web crawl 10%
16,0.4373127817362222,0.3987905434327349,0.4373127817362222,"[[6120   30   71   22]
 [5755  653  925  231]
 [2230   36 2963   63]
 [6872   66 3047 5301]]",1.073956667151374,GaussianNB(),web crawl 10%
27,0.5024574669187145,0.4600276055603208,0.5024574669187145,"[[6101   33   73   36]
 [5211  802 1094  457]
 [1485   31 3705   71]
 [5520   96 3001 6669]]",1.7506761669332558,GaussianNB(),web crawl 10%
46,0.5414570306819835,0.49589170359832185,0.5414570306819835,"[[6109   34   69   31]
 [4830  968 1133  633]
 [1243   36 3940   73]
 [4544  148 2993 7601]]",2.590693616402501,GaussianNB(),web crawl 10%
77,0.5808346662789007,0.5360617410172801,0.5808346662789007,"[[6112   42   70   19]
 [4531 1210 1104  719]
 [ 981   48 4181   82]
 [3949  182 2686 8469]]",3.938723280500218,GaussianNB(),web crawl 10%
129,0.6054675003635306,0.5612787691975959,0.6054675003635306,"[[6100   44   84   15]
 [4175 1432 1150  807]
 [ 873   45 4292   82]
 [3414  190 2687 8995]]",5.298647666133489,GaussianNB(),web crawl 10%
215,0.6321070234113713,0.5873278396796425,0.6321070234113713,"[[6085   64   78   16]
 [4006 1578 1062  918]
 [ 737   60 4411   84]
 [3012  217 2396 9661]]",7.117202268431002,GaussianNB(),web crawl 10%
359,0.6474916387959866,0.6030761445764676,0.6474916387959866,"[[ 6078    71    74    20]
 [ 3886  1690   942  1046]
 [  714    63  4427    88]
 [ 2766   252  2199 10069]]",9.129998545877562,GaussianNB(),web crawl 10%
599,0.6579322378944307,0.6153585898492271,0.6579322378944307,"[[ 6089    74    60    20]
 [ 3810  1804   911  1039]
 [  648    66  4482    96]
 [ 2697   277  2064 10248]]",11.371499200232659,GaussianNB(),web crawl 10%
1000,0.6618292860258834,0.6193358305010204,0.6618292860258834,"[[ 6087    66    70    20]
 [ 3806  1828   906  1024]
 [  623    67  4508    94]
 [ 2663   283  2006 10334]]",14.079046095681257,GaussianNB(),web crawl 10%
