N,microF1,macroF1,accuracy,cm,coverage,clf,eval_df
10,0.3879307837719936,0.34874627016075554,0.3879307837719936,"[[6136   21   65   21]
 [6278  457  624  205]
 [2926   22 2277   67]
 [8359   38 2420 4469]]",0.6904464155881925,GaussianNB(),web crawl 10%
12,0.4036062236440308,0.3620784961539282,0.4036062236440308,"[[6125   28   68   22]
 [6000  506  839  219]
 [2702   30 2496   64]
 [7559   50 2926 4751]]",0.8348989384906209,GaussianNB(),web crawl 10%
16,0.4373127817362222,0.3987905434327349,0.4373127817362222,"[[6120   30   71   22]
 [5755  653  925  231]
 [2230   36 2963   63]
 [6872   66 3047 5301]]",1.073956667151374,GaussianNB(),web crawl 10%
20,0.46840191944161697,0.42801789698321185,0.46840191944161697,"[[6108   35   68   32]
 [5457  737 1025  345]
 [1904   35 3282   71]
 [6124   84 3099 5979]]",1.3636469390722699,GaussianNB(),web crawl 10%
25,0.49771702777373855,0.4557345330524795,0.49771702777373855,"[[6105   34   69   35]
 [5227  808 1097  432]
 [1566   30 3624   72]
 [5567  100 3042 6577]]",1.6923367747564344,GaussianNB(),web crawl 10%
32,0.5142358586592991,0.47039886043962825,0.5142358586592991,"[[6100   31   75   37]
 [5017  856 1158  533]
 [1388   33 3797   74]
 [5148   98 3111 6929]]",1.988163443361931,GaussianNB(),web crawl 10%
41,0.5353206339973826,0.49018416807221665,0.5353206339973826,"[[6106   30   71   36]
 [4894  933 1131  606]
 [1273   32 3913   74]
 [4732  129 2970 7455]]",2.381503562599971,GaussianNB(),web crawl 10%
52,0.5502980950996074,0.5047070551417759,0.5502980950996074,"[[6120   31   72   20]
 [4799 1009 1120  636]
 [1202   38 3977   75]
 [4476  133 2861 7816]]",2.8692453104551405,GaussianNB(),web crawl 10%
67,0.5712083757452378,0.525453709960246,0.5712083757452378,"[[6104   40   78   21]
 [4568 1130 1157  709]
 [1000   43 4171   78]
 [4059  145 2846 8236]]",3.5252581067325868,GaussianNB(),web crawl 10%
85,0.581532645048713,0.535493423155193,0.581532645048713,"[[6109   42   74   18]
 [4464 1219 1133  748]
 [1058   44 4103   87]
 [3837  160 2724 8565]]",4.144394358004944,GaussianNB(),web crawl 10%
108,0.5967427657408754,0.5517828703414613,0.5967427657408754,"[[6099   44   82   18]
 [4237 1365 1165  797]
 [ 956   49 4200   87]
 [3532  187 2712 8855]]",4.7892394939653915,GaussianNB(),web crawl 10%
137,0.6093354660462411,0.5642844470071976,0.6093354660462411,"[[6100   42   86   15]
 [4150 1433 1128  853]
 [ 876   46 4286   84]
 [3347  186 2620 9133]]",5.506209102806456,GaussianNB(),web crawl 10%
174,0.6219281663516069,0.5778311756591035,0.6219281663516069,"[[6095   51   82   15]
 [4074 1528 1076  886]
 [ 798   54 4357   83]
 [3222  201 2458 9405]]",6.383713828704377,GaussianNB(),web crawl 10%
221,0.6330958266686055,0.5884443259185184,0.6330958266686055,"[[6083   63   80   17]
 [3986 1589 1062  927]
 [ 731   57 4420   84]
 [3002  207 2400 9677]]",7.198894866947797,GaussianNB(),web crawl 10%
280,0.6407154282390577,0.5974036770623385,0.6407154282390577,"[[6075   66   79   23]
 [3903 1688 1033  940]
 [ 705   63 4437   87]
 [2887  255 2313 9831]]",8.096728224516504,GaussianNB(),web crawl 10%
356,0.6465610004362368,0.602356908825626,0.6465610004362368,"[[ 6078    71    75    19]
 [ 3892  1692   951  1029]
 [  712    63  4431    86]
 [ 2778   251  2226 10031]]",9.051417769376181,GaussianNB(),web crawl 10%
452,0.6514468518249237,0.6078809002012834,0.6514468518249237,"[[ 6083    72    67    21]
 [ 3876  1731   920  1037]
 [  696    63  4441    92]
 [ 2780   254  2107 10145]]",10.1092045950269,GaussianNB(),web crawl 10%
573,0.6575250836120401,0.6141786442433682,0.6575250836120401,"[[ 6085    74    62    22]
 [ 3812  1773   924  1055]
 [  642    65  4492    93]
 [ 2691   268  2068 10259]]",11.09413988657845,GaussianNB(),web crawl 10%
