N,microF1,macroF1,accuracy,cm,coverage,clf,bool_coverage,bool_coverage_ratio,eval_df
10,0.506496246947819,0.3587723422812404,0.506496246947819,"[[ 1227   156    30  4830]
 [  372   528    81  6583]
 [   20    11  1217  4044]
 [   88    38   118 13830]]",0.5775480059084195,LinearSVC(dual=False),21564,0.6500467247460284,web crawl 10%
12,0.5296476049799536,0.40526744066867804,0.5296476049799536,"[[ 1501   132    48  4562]
 [  490   554   176  6344]
 [   43    10  1802  3437]
 [  111    39   211 13713]]",0.7032526452235252,LinearSVC(dual=False),20032,0.6038645886715099,web crawl 10%
16,0.556808247671299,0.45370988338956064,0.556808247671299,"[[ 1888   182    54  4119]
 [  550   686   186  6142]
 [   40    21  2254  2977]
 [  131    44   256 13643]]",0.9909263557712598,LinearSVC(dual=False),16971,0.5115907515147862,web crawl 10%
20,0.5746842311518403,0.4856917552726968,0.5746842311518403,"[[ 1969   375    66  3833]
 [  613   987   201  5763]
 [   56    39  2560  2637]
 [  143    87   296 13548]]",1.256925813161306,LinearSVC(dual=False),14879,0.44852741687516956,web crawl 10%
25,0.5863503451602207,0.5031644398888937,0.5863503451602207,"[[ 2195   361    62  3625]
 [  688  1043   207  5626]
 [   56    53  2660  2523]
 [  147    83   291 13553]]",1.522473095589787,LinearSVC(dual=False),13430,0.40484731558797815,web crawl 10%
32,0.6015735688662467,0.5288287579183981,0.6015735688662467,"[[ 2383   414    66  3380]
 [  723  1289   217  5335]
 [   56    64  2812  2360]
 [  155   141   306 13472]]",1.8205166852560817,LinearSVC(dual=False),11917,0.3592379344647756,web crawl 10%
41,0.6136014228438791,0.5487563426743163,0.6136014228438791,"[[ 2491   476    76  3200]
 [  769  1466   236  5093]
 [   58    67  3034  2133]
 [  155   236   319 13364]]",2.2470382540017484,LinearSVC(dual=False),10140,0.3056702740180267,web crawl 10%
52,0.6248153618906942,0.56625459835926,0.6248153618906942,"[[ 2616   540    74  3013]
 [  804  1645   246  4869]
 [   69    96  3178  1949]
 [  169   296   321 13288]]",2.6371446658427034,LinearSVC(dual=False),8922,0.2689536671389383,web crawl 10%
67,0.6372049558375787,0.5848530417135699,0.6372049558375787,"[[ 2765   637    73  2768]
 [  836  1960   233  4535]
 [   94   121  3164  1913]
 [  170   362   293 13249]]",3.1502125222319357,LinearSVC(dual=False),7574,0.2283182105929521,web crawl 10%
85,0.6522774545564164,0.6062081094754366,0.6522774545564164,"[[ 2961   644    75  2563]
 [  908  2266   242  4148]
 [  142   146  3251  1753]
 [  178   439   297 13160]]",3.7618545202423657,LinearSVC(dual=False),6489,0.1956108883730745,web crawl 10%
108,0.6612003737979683,0.6181655269356139,0.6612003737979683,"[[ 3154   657    72  2360]
 [  998  2365   245  3956]
 [  168   157  3317  1650]
 [  205   483   288 13098]]",4.4704428300123595,LinearSVC(dual=False),5428,0.1636270460917011,web crawl 10%
