N,microF1,macroF1,accuracy,cm,coverage,clf,bool_coverage,bool_coverage_ratio,eval_df
10,0.3614083742802882,0.31323046921404485,0.3614083742802882,"[[6147   34   38   24]
 [6503  341  540  180]
 [3491   10 1741   50]
 [7778   27 2509 3760]]",0.5775480059084195,GaussianNB(),21564,0.6500467247460284,web crawl 10%
12,0.3810930576070901,0.33747415487930904,0.3810930576070901,"[[6135   31   53   24]
 [6305  378  695  186]
 [2959    9 2275   49]
 [7372   35 2813 3854]]",0.7032526452235252,GaussianNB(),20032,0.6038645886715099,web crawl 10%
16,0.4147348747475356,0.37069556451809216,0.4147348747475356,"[[6125   33   60   25]
 [5909  448  934  273]
 [2455   12 2774   51]
 [6414   51 3198 4411]]",0.9909263557712598,GaussianNB(),16971,0.5115907515147862,web crawl 10%
20,0.4483766918879812,0.4055895262265826,0.4483766918879812,"[[6108   38   71   26]
 [5638  577 1038  311]
 [2064   18 3156   54]
 [5714   62 3265 5033]]",1.256925813161306,GaussianNB(),14879,0.44852741687516956,web crawl 10%
25,0.46999065505079435,0.42598076574366367,0.46999065505079435,"[[6113   33   73   24]
 [5497  621 1063  383]
 [1855   17 3360   60]
 [5276   79 3222 5497]]",1.522473095589787,GaussianNB(),13430,0.40484731558797815,web crawl 10%
32,0.4918457781931089,0.4463780621765252,0.4918457781931089,"[[6097   38   78   30]
 [5270  682 1136  476]
 [1672   20 3544   56]
 [4832   76 3173 5993]]",1.8205166852560817,GaussianNB(),11917,0.3592379344647756,web crawl 10%
41,0.5108672715762819,0.4671037122592897,0.5108672715762819,"[[6086   42   89   26]
 [5021  807 1267  469]
 [1375   26 3836   55]
 [4408  202 3246 6218]]",2.2470382540017484,GaussianNB(),10140,0.3056702740180267,web crawl 10%
52,0.5237090404847315,0.4763272201852997,0.5237090404847315,"[[6094   40   85   24]
 [4904  795 1237  628]
 [1379   25 3824   64]
 [4157  107 3150 6660]]",2.6371446658427034,GaussianNB(),8922,0.2689536671389383,web crawl 10%
67,0.5439061887679739,0.4985575071083893,0.5439061887679739,"[[6089   48   91   15]
 [4697  959 1200  708]
 [1198   27 3990   77]
 [3736  153 3180 7005]]",3.1502125222319357,GaussianNB(),7574,0.2283182105929521,web crawl 10%
85,0.5651282669640973,0.5198483388259525,0.5651282669640973,"[[6088   49   92   14]
 [4527 1074 1235  728]
 [1029   27 4159   77]
 [3407  154 3087 7426]]",3.7618545202423657,GaussianNB(),6489,0.1956108883730745,web crawl 10%
108,0.5785729358213004,0.5334982083473756,0.5785729358213004,"[[6081   53   89   20]
 [4417 1161 1198  788]
 [ 996   31 4189   76]
 [3200  179 2933 7762]]",4.4704428300123595,GaussianNB(),5428,0.1636270460917011,web crawl 10%
137,0.593374129563199,0.5498033583706315,0.593374129563199,"[[6068   63   91   21]
 [4325 1282 1113  844]
 [ 943   32 4239   78]
 [3071  191 2717 8095]]",5.099749796521268,GaussianNB(),4666,0.14065655804419255,web crawl 10%
174,0.6103457631206102,0.5664578533144796,0.6103457631206102,"[[6067   65   95   16]
 [4214 1370 1105  875]
 [ 836   30 4335   91]
 [2873  176 2550 8475]]",5.96225846320803,GaussianNB(),3770,0.11364664034003558,web crawl 10%
221,0.6172188225364,0.5748127406367702,0.6172188225364,"[[6066   73   89   15]
 [4160 1454 1033  917]
 [ 830   40 4324   98]
 [2825  207 2411 8631]]",7.025864407801525,GaussianNB(),2952,0.08898803243601724,web crawl 10%
280,0.6275585566575227,0.5864803134765519,0.6275585566575227,"[[6071   74   84   14]
 [4088 1556 1002  918]
 [ 721   47 4424  100]
 [2645  234 2428 8767]]",8.022759473065445,GaussianNB(),2463,0.07424712868899407,web crawl 10%
356,0.636993940855515,0.5959178351974284,0.636993940855515,"[[6060   80   87   16]
 [4018 1618  984  944]
 [ 686   44 4464   98]
 [2517  234 2334 8989]]",8.968679347662256,GaussianNB(),2125,0.06405811955505984,web crawl 10%
452,0.6431435203328008,0.6021697160954308,0.6431435203328008,"[[6066   72   88   17]
 [3970 1671  970  953]
 [ 676   47 4467  102]
 [2407  253 2283 9131]]",9.92231634160311,GaussianNB(),1843,0.05555723027763543,web crawl 10%
573,0.6472733849817622,0.6070285322421183,0.6472733849817622,"[[6072   76   81   14]
 [3996 1704  921  943]
 [ 663   45 4489   95]
 [2404  267 2196 9207]]",11.12669942423055,GaussianNB(),1579,0.04759895095408917,web crawl 10%
727,0.6521568745666657,0.6120984047797979,0.6521568745666657,"[[6066   75   87   15]
 [3961 1746  917  940]
 [ 630   44 4523   95]
 [2315  277 2183 9299]]",12.21228107195611,GaussianNB(),1354,0.04081632653061224,web crawl 10%
923,0.6514032496307238,0.6118375514041143,0.6514032496307238,"[[6068   74   82   19]
 [3943 1759  945  917]
 [ 619   44 4537   92]
 [2331  281 2217 9245]]",13.544298073734664,GaussianNB(),1136,0.034244717089199045,web crawl 10%
1172,0.6529406445000452,0.6142225840336825,0.6529406445000452,"[[6061   82   84   16]
 [3902 1806  955  901]
 [ 584   48 4563   97]
 [2261  323 2260 9230]]",14.831911494287523,GaussianNB(),969,0.029210502517107287,web crawl 10%
1487,0.6534832544539234,0.6138322241257033,0.6534832544539234,"[[6072   77   77   17]
 [3895 1781  951  937]
 [ 597   47 4551   97]
 [2226  302 2272 9274]]",16.26856178217225,GaussianNB(),812,0.024477737919392277,web crawl 10%
1887,0.6522774545564164,0.6128160421151595,0.6522774545564164,"[[6074   74   78   17]
 [3935 1770  922  937]
 [ 622   59 4519   92]
 [2285  328 2186 9275]]",17.779760648720345,GaussianNB(),718,0.021644108160250808,web crawl 10%
2395,0.6488710698459591,0.6087507931882553,0.6488710698459591,"[[6071   87   70   15]
 [3946 1726  941  951]
 [ 646   57 4497   92]
 [2324  320 2199 9231]]",19.60540198354083,GaussianNB(),612,0.018448738431857233,web crawl 10%
