N,microF1,macroF1,accuracy,cm,coverage,clf,bool_coverage,bool_coverage_ratio,bool_coverage_ratio_hr,bool_coverage_ratio_bs,bool_coverage_ratio_sr,bool_coverage_ratio_me,eval_df
10,0.36213185421879235,0.31321323480492813,0.3621318542187924,"[[6158   29   34   22]
 [6503  333  557  171]
 [3470    8 1757   57]
 [7686   23 2600 3765]]",0.5879480300244174,GaussianNB(),21346,0.6434751153046152,0.7528431843664904,0.7716816499206769,0.6494708994708994,0.523802756856615,web crawl 10%
14,0.407831670334308,0.36415304547876653,0.407831670334308,"[[6121   27   73   22]
 [6002  432  922  208]
 [2490   17 2729   56]
 [6586   54 3187 4247]]",0.9246977964006873,GaussianNB(),17515,0.5279896301208814,0.6532115969886273,0.659439450026441,0.45861678004535145,0.42788119937473357,web crawl 10%
20,0.45084858167787056,0.40702104582482235,0.45084858167787056,"[[6093   38   85   27]
 [5669  552 1077  266]
 [1993   14 3222   63]
 [5652   48 3285 5089]]",1.2745304916649083,GaussianNB(),14610,0.4404184125644349,0.5700784879064552,0.5538075092543627,0.36205593348450493,0.3514281654113969,web crawl 10%
29,0.4832845989208091,0.43740439213114146,0.4832845989208091,"[[6088   33   90   32]
 [5395  635 1142  392]
 [1727   18 3479   68]
 [4954   80 3210 5830]]",1.6723238778524703,GaussianNB(),12489,0.3764808729991258,0.5042447541246196,0.47924378635642517,0.3085789871504157,0.29010942162853487,web crawl 10%
42,0.5126156814276671,0.46954900043735975,0.5126156814276671,"[[6075   48   98   22]
 [5098  816 1219  431]
 [1273   21 3941   57]
 [4295  269 3337 6173]]",2.3619509842341664,GaussianNB(),9671,0.29153227021975703,0.4238346948582412,0.3757271285034373,0.2227891156462585,0.21344322864857185,web crawl 10%
61,0.5353450094956742,0.48899228961800334,0.5353450094956742,"[[6093   47   86   17]
 [4861  891 1235  577]
 [1246   24 3956   66]
 [3794  137 3324 6819]]",2.9798028517167574,GaussianNB(),7852,0.23669851988062582,0.36857280153772226,0.2985193019566367,0.17894935752078608,0.16669035100184737,web crawl 10%
88,0.5642540620384048,0.5196567986834314,0.5642540620384048,"[[6072   51  100   20]
 [4526 1095 1256  687]
 [ 986   27 4205   74]
 [3316  166 3246 7346]]",3.856208362222289,GaussianNB(),6287,0.18952159889066408,0.3054621175716803,0.2357218402961396,0.15702947845804988,0.1254796077874094,web crawl 10%
127,0.587616435052603,0.5441282187560682,0.587616435052603,"[[6067   57   93   26]
 [4373 1268 1149  774]
 [ 998   34 4182   78]
 [3110  187 2801 7976]]",4.9847164862990985,GaussianNB(),4751,0.14321888282639497,0.24427358641678681,0.17173453199365415,0.12339380196523053,0.09052152906067927,web crawl 10%
183,0.6081753233050975,0.564758282970434,0.6081753233050975,"[[6052   62  103   26]
 [4199 1386 1137  842]
 [ 846   38 4321   87]
 [2868  173 2617 8416]]",6.163506466101951,GaussianNB(),3599,0.10849184577819311,0.1882107960916226,0.12903225806451613,0.0944822373393802,0.06735824925394344,web crawl 10%
263,0.6229765170469961,0.5822810653823862,0.6229765170469961,"[[6036   82   99   26]
 [4114 1550 1051  849]
 [ 758   47 4391   96]
 [2737  226 2422 8689]]",7.753926385916257,GaussianNB(),2648,0.07982395321496398,0.14320038443056224,0.09003172924378636,0.07123960695389267,0.049452891857325564,web crawl 10%
379,0.6398275706146564,0.5978871421546298,0.6398275706146564,"[[6043   72  101   27]
 [4039 1616  982  927]
 [ 715   54 4430   93]
 [2497  232 2209 9136]]",9.250806378681458,GaussianNB(),2098,0.0632442046242426,0.11629024507448342,0.07231623479640402,0.05612244897959184,0.03751598692624698,web crawl 10%
545,0.6451632351611251,0.6031371531777121,0.6451632351611251,"[[6044   88   89   22]
 [4032 1649  928  955]
 [ 713   57 4422  100]
 [2400  244 2143 9287]]",10.89352786905013,GaussianNB(),1658,0.04998040575166551,0.09690853756206952,0.05684822845055526,0.04308390022675737,0.0280659371891431,web crawl 10%
784,0.6500467247460284,0.6094873689365609,0.6500467247460284,"[[6044   83   93   23]
 [3951 1729  957  927]
 [ 675   61 4464   92]
 [2380  274 2093 9327]]",12.603683718686884,GaussianNB(),1327,0.040002411599795014,0.07816754765337178,0.04587519830777367,0.03476946334089191,0.021884325706977407,web crawl 10%
1128,0.6527296295179815,0.6134988775401349,0.6527296295179815,"[[6052   86   87   18]
 [3894 1810  970  890]
 [ 630   65 4502   95]
 [2280  280 2225 9289]]",14.640762065535224,GaussianNB(),1061,0.03198384228137341,0.06439211917347429,0.0375462718138551,0.025888133030990173,0.016910615319027995,web crawl 10%
1623,0.6523075995538541,0.6119504612313938,0.6523075995538541,"[[6056   77   83   27]
 [3936 1768  968  892]
 [ 655   57 4476  104]
 [2275  278 2182 9339]]",16.82271727006903,GaussianNB(),853,0.02571368281433696,0.052699022905654334,0.029613960867265997,0.020219198790627363,0.013713230069631946,web crawl 10%
2335,0.652217164561541,0.6107452747718697,0.652217164561541,"[[6041   84   90   28]
 [3951 1725  976  912]
 [ 643   64 4477  108]
 [2276  277 2128 9393]]",19.436258402918035,GaussianNB(),636,0.019172218370361437,0.0414864648406215,0.021946060285563194,0.015117157974300832,0.00930794372601961,web crawl 10%
3359,0.6435052603020529,0.6028873538740911,0.6435052603020529,"[[6035   99   84   25]
 [3977 1712 1032  843]
 [ 665   60 4457  110]
 [2328  302 2301 9143]]",22.87978175021855,GaussianNB(),462,0.013926988816205951,0.032516418388595224,0.01560021152829191,0.010770975056689343,0.005968452465539292,web crawl 10%
4832,0.640611340548036,0.5990360809858901,0.640611340548036,"[[6012  121   80   30]
 [3922 1665 1082  895]
 [ 656   57 4456  123]
 [2308  326 2322 9118]]",27.572272631356828,GaussianNB(),336,0.010128719139058873,0.024987986544930323,0.011501850872554203,0.007558578987150416,0.003765809293733125,web crawl 10%
