N,microF1,macroF1,accuracy,cm,coverage,clf,bool_coverage,bool_coverage_ratio,bool_coverage_ratio_hr,bool_coverage_ratio_bs,bool_coverage_ratio_sr,bool_coverage_ratio_me,eval_df
10,0.2460537197511776,0.26854097963399803,0.2460537197511776,"[[2423  499    3 6659]
 [ 200  694   44 3927]
 [  27   43 2836 9555]
 [   0    0   11  890]]",0.6095070295926073,LinearSVC(dual=False),17337,0.6233864298299234,0.6669449081803005,0.6887975334018499,0.577882994944226,0.4361820199778024,RSS
14,0.36895473014274927,0.35776977282820654,0.36895473014274927,"[[3404  608   10 5562]
 [ 281  738   89 3757]
 [  63   34 5248 7116]
 [   1    0   29  871]]",1.039876307935709,LinearSVC(dual=False),13108,0.47132429614181437,0.5254590984974958,0.5882836587872559,0.39154160982264663,0.36736958934517205,RSS
20,0.451116464708209,0.43403415169259285,0.451116464708209,"[[3788 1288    7 4501]
 [ 380 1590   98 2797]
 [  56   91 6303 6011]
 [   1    1   34  865]]",1.6084642767250368,LinearSVC(dual=False),8812,0.31685304375966344,0.3663397328881469,0.2976361767728674,0.2894631249498435,0.2730299667036626,RSS
29,0.48980619179461365,0.4599649120503864,0.48980619179461365,"[[4517 1651    7 3409]
 [ 431 1730   99 2605]
 [  71  126 6520 5744]
 [   3    9   34  855]]",2.184782999532559,LinearSVC(dual=False),6532,0.23487109417137103,0.2345575959933222,0.22137718396711203,0.24380065805312576,0.18756936736958935,RSS
42,0.5407212973283952,0.4920821815283869,0.5407212973283952,"[[5195 1891    5 2493]
 [ 451 1867   96 2451]
 [ 118  163 7127 5053]
 [   2   18   32  849]]",3.212433929020891,LinearSVC(dual=False),4089,0.1470281543274244,0.1592237061769616,0.15334018499486127,0.1377899045020464,0.11098779134295228,RSS
61,0.5526590198123045,0.49981870093175046,0.5526590198123045,"[[5381 2124    5 2074]
 [ 471 1997   93 2304]
 [ 205  215 7142 4899]
 [   2   17   32  850]]",3.9724569414979682,LinearSVC(dual=False),3082,0.11081945992592859,0.12020033388981637,0.11531346351490236,0.10368349249658936,0.08546059933407325,RSS
88,0.5686598827801949,0.5112860879619493,0.5686598827801949,"[[5404 2445    4 1731]
 [ 474 2241   89 2061]
 [ 239  282 7326 4614]
 [   3   23   31  844]]",4.911761533206286,LinearSVC(dual=False),2394,0.08608104706770703,0.08420283806343906,0.0842754367934224,0.08955942540727069,0.06770255271920089,RSS
127,0.5871417784329941,0.524141227153956,0.5871417784329941,"[[5567 2483    4 1530]
 [ 483 2338   88 1956]
 [ 260  301 7577 4323]
 [   2   20   32  847]]",6.019308906547769,LinearSVC(dual=False),1834,0.06594512962496854,0.06312604340567612,0.057965056526207606,0.07270684535751545,0.04550499445061043,RSS
183,0.6437740462406961,0.556881949458073,0.6437740462406961,"[[5924 2676    7  977]
 [ 660 2468   89 1648]
 [ 581  293 8693 2894]
 [  31   20   31  819]]",7.415483082233648,LinearSVC(dual=False),1028,0.03696379130559851,0.04528380634390651,0.03782117163412128,0.03081614637669529,0.02885682574916759,RSS
263,0.6492754665420157,0.5625301461153688,0.6492754665420157,"[[5803 2923    8  850]
 [ 609 2646   90 1520]
 [ 536  389 8791 2745]
 [  22   30   32  817]]",9.135953399733918,LinearSVC(dual=False),652,0.02344396102261695,0.029841402337228713,0.020760534429599176,0.020223096059706284,0.014428412874583796,RSS
379,0.6598468231994534,0.5761904281568954,0.6598468231994534,"[[5742 3131   26  685]
 [ 554 3045   95 1171]
 [ 467  444 8751 2799]
 [  18   35   35  813]]",10.821401603681997,LinearSVC(dual=False),462,0.01661213189025925,0.024207011686143573,0.012332990750256937,0.013080812133857636,0.00776914539400666,RSS
545,0.6493833375283161,0.5685053337650264,0.6493833375283161,"[[5662 3258   27  637]
 [ 540 3046   91 1188]
 [ 428  491 8541 3001]
 [  14   38   38  811]]",12.645967422962137,LinearSVC(dual=False),327,0.011757937506741936,0.018781302170283808,0.008633093525179856,0.008265789262498997,0.0022197558268590455,RSS
784,0.6458955089712703,0.566015608503209,0.6458955089712703,"[[5531 3410   26  617]
 [ 495 3095   94 1181]
 [ 361  524 8528 3048]
 [  16   36   40  809]]",14.56351803243321,LinearSVC(dual=False),251,0.009025205853798856,0.016381469115191987,0.006166495375128468,0.0049755236337372605,0.0022197558268590455,RSS
1128,0.6357915932544677,0.5599617288441724,0.6357915932544677,"[[5357 3578   27  622]
 [ 463 3165   98 1139]
 [ 303  598 8337 3223]
 [  10   34   34  823]]",16.781525295746288,LinearSVC(dual=False),197,0.007083528100391931,0.01481636060100167,0.004316546762589928,0.002568012198057941,0.0022197558268590455,RSS
1623,0.6325914206608896,0.5574328355866548,0.6325914206608896,"[[5311 3605   54  614]
 [ 443 3152  104 1166]
 [ 311  639 8304 3207]
 [   7   32   36  826]]",19.06296069900399,LinearSVC(dual=False),143,0.005141850346985006,0.011060100166944907,0.0024665981500513875,0.0019260091485434555,0.0011098779134295228,RSS
2335,0.6174535255834023,0.545652128782056,0.6174535255834023,"[[5250 3646   46  642]
 [ 421 3032  100 1312]
 [ 287  663 8058 3453]
 [   5   27   37  832]]",21.86311171838481,LinearSVC(dual=False),105,0.003775484520513466,0.00813856427378965,0.0020554984583761563,0.001364256480218281,0.0,RSS
3359,0.6049404911725577,0.5374581301366245,0.6049404911725577,"[[5042 3778   65  699]
 [ 373 3130  112 1250]
 [ 232  714 7825 3690]
 [   3   33   38  827]]",25.704721153500415,LinearSVC(dual=False),74,0.0026608176620761567,0.006364774624373956,0.0012332990750256938,0.0005617526683251745,0.0,RSS
4832,0.5841933048074502,0.52060162053153,0.5841933048074502,"[[4616 3968   75  925]
 [ 364 3093  120 1288]
 [ 177  787 7705 3792]
 [   3   33   32  833]]",30.882888065873214,LinearSVC(dual=False),48,0.001725935780806156,0.003964941569282137,0.0010277492291880781,0.0004012519059465532,0.0,RSS
6951,0.5758153248714537,0.513303344690613,0.5758153248714537,"[[4438 3967   77 1102]
 [ 355 3056  118 1336]
 [ 145  836 7691 3789]
 [   2   41   29  829]]",38.449282657941104,LinearSVC(dual=False),30,0.0010787098630038474,0.002295492487479132,0.0008221993833504625,0.0003210015247572426,0.0,RSS
