character,counts
 ,4230221
a,2112103
e,1603953
i,1458933
o,1447075
n,948684
s,856224
t,764076
r,737063
m,700266
d,657227
u,656502
j,644650
l,605227
k,540598
v,509727
p,406328
.,311229
z,270093
b,263254
c,251687
g,228712
",",180555
h,161132
A,124288
š,110644
I,92190
S,91332
:,86490
O,85859
f,83313
N,82819
E,77368
D,71900
M,69630
č,68936
!,67666
T,64741
P,60764
),58608
ć,58231
K,56630
J,48953
ž,48651
B,46640
R,46074
?,45725
w,45315
-,44950
y,44501
U,41251
V,40711
L,39148
"""",37481
"
",36009
0,32886
H,32622
',29971
Z,28133
C,27527
1,26840
3,25872
2,23819
G,23776
(,15944
F,15609
đ,13334
_,11044
5,10718
…,10263
4,10084
Š,9433
/,8960
x,8508
<,7531
W,7077
9,6865
+,6859
*,6381
;,6072
6,5825
Č,5693
8,5548
7,5175
Ž,4880
Y,4490
♥,3020
@,2972
Ć,2963
],2047
[,2041
%,1887
&,1866
X,1833
>,1704
|,1646
Đ,1356
q,1297
“,1101
—,1017
^,1001
😂,955
’,943
”,922
–,820
í,704
=,660
❤,634
Q,622
„,598
#,574
$,524
€,468
α,385
`,378
ㅤ,336
é,333
♡,287
\,282
★,273
▸,272
~,271
ε,268
ι,266
ü,261
ο,236
ν,232
‘,216
 ,183
τ,180
ä,178
️,174
á,174
█,173
ö,170
λ,133
κ,131
μ,127
ρ,125
υ,120
👏,117
°,109
😊,109
σ,108
ς,107
👍,107
•,105
ά,102
🔯,101
π,101
ó,99
้,98
♛,94
็,80
☆,78
η,77
γ,75
ί,72
ا,71
💋,70
😄,67
έ,66
ś,61
å,60
☼,60
ñ,58
💖,57
ω,56
😱,53
è,52
»,52
ό,51
à,51
😝,50
😃,50
😍,49
ı,48
✔,48
̶,48
♪,47
♫,47
χ,47
¡,46
🍺,46
→,45
†,44
😉,43
🏀,43
δ,43
θ,42
ß,42
¿,42
😘,42
ﾟ,41
£,38
😎,38
✌,37
😁,37
«,37
↑,37
☺,37
ή,36
┓,36
🎶,35
😏,35
·,35
},34
´,34
💤,34
˝,34
═,34
я,33
ر,33
ú,32
Π,31
😜,31
Ö,30
ë,30
↓,30
م,30
φ,29
ç,29
̅,28
ل,28
🎂,28
̲,28
ы,27
😢,27
®,27
💗,26
｀,26
ف,26
☀,25
💪,25
й,25
♕,25
‚,25
░,25
Á,25
{,24
ύ,24
É,24
⇠,24
¤,23
▀,23
👎,23
™,22
🙈,22
⇢,22
💚,22
🎉,22
༼,22
༽,21
و,21
ő,21
🙏,21
ヽ,21
←,20
©,20
ώ,20
😭,20
Ś,20
💙,20
²,20
👌,20
👋,19
ب,19
Α,19
。,19
┃,19
║,19
🍻,19
ş,19
­,18
ي,18
👼,18
س,18
Ν,18
³,17
ь,17
･,17
💃,17
🎈,17
¨,17
💜,16
ꉺ,16
√,16
ღ,16
Σ,16
◕,16
｡,16
、,16
►,15
💩,15
🎁,15
ù,15
ɷ,15
😈,15
â,15
🙊,15
♬,15
╯,14
¸,14
İ,14
ت,14
Κ,14
🚫,14
●,14
　,14
ن,14
½,13
ξ,13
✓,13
́,13
ζ,13
✧,13
ê,13
‎,12
Ε,12
ò,12
▶,12
╭,12
ğ,12
د,12
┛,12
ﾉ,11
ه,11
ك,11
━,11
Μ,11
☕,11
🌟,11
▲,11
▒,11
╮,11
🙌,11
―,11
¥,10
┏,10
‿,10
你,10
ì,10
˛,10
💕,10
⃣,10
៛,10
🔫,10
β,10
🔱,10
😚,10
😥,10
⚽,10
🙉,9
💦,9
Ｅ,9
👀,9
ℓ,9
＊,9
🍹,9
ô,9
Ä,9
😒,9
ź,9
×,9
Ο,9
🍗,9
Χ,9
ø,9
Τ,8
▄,8
̌,8
😩,8
▨,8
₪,8
┗,8
🚬,8
😴,8
ă,8
💐,8
👸,8
Я,8
ᴉ,8
💍,8
🍆,8
❒,8
º,8
ح,8
є,8
▼,8
⊕,8
╰,8
💔,8
🍖,8
😠,7
✰,7
✅,7
🔝,7
😇,7
ю,7
✿,7
Å,7
💛,7
ű,7
▬,7
✨,7
ā,7
🔊,7
∞,7
Δ,7
ł,7
ノ,7
😳,7
⊙,7
ش,7
ق,7
Ｔ,7
🐩,7
″,7
Γ,7
的,7
Ζ,6
🍤,6
😞,6
😀,6
😌,6
𝖚,6
û,6
˘,6
，,6
Θ,6
Ό,6
💓,6
⁰,6
ع,6
ï,6
˜,6
✫,6
▓,6
Ü,6
∵,6
ی,6
🌞,6
🎄,6
😫,6
ｏ,6
Ø,6
の,6
ϊ,6
😷,6
◄,6
❄,5
☔,5
✋,5
👊,5
─,5
🔥,5
Η,5
î,5
♣,5
╬,5
🍷,5
ج,5
ک,5
😋,5
𝖆,5
◡,5
ˇ,5
ة,5
🙆,5
👬,5
Ç,5
Ｌ,5
§,5
❗,5
🎼,5
＼,5
✈,5
🏊,5
😡,5
🎥,5
《,5
ɐ,5
Ｗ,5
有,5
щ,5
Ｏ,5
Λ,5
	,5
💲,4
☉,4
⌒,4
œ,4
不,4
に,4
❁,4
💧,4
🍒,4
்,4
っ,4
☁,4
❌,4
ு,4
🇸,4
🇹,4
Ρ,4
🍌,4
͡,4
🇮,4
Ú,4
ص,4
︶,4
₹,4
➷,4
노,4
∩,4
😆,4
け,4
∀,4
‹,4
😓,4
💯,4
╚,4
是,4
Ｉ,4
ɯ,4
,4
ī,4
Ｎ,4
▪,4
ǝ,4
】,3
📷,3
♠,3
𝖙,3
い,3
🐷,3
♔,3
🌚,3
【,3
,3
😐,3
○,3
℃,3
,3
／,3
𝖗,3
な,3
🙀,3
は,3
Ｒ,3
𝖕,3
て,3
𝖔,3
👭,3
𝖘,3
ʇ,3
🏆,3
う,3
ɔ,3
,3
💨,3
る,3
ہ,3
Υ,3
🚴,3
ா,3
غ,3
Ω,3
ʌ,3
일,3
🐾,3
要,3
⚫,3
Ó,3
♩,3
ū,3
ת,3
Ł,3
󾌰,3
ל,3
إ,3
ئ,3
🙅,3
מ,3
ו,3
🇺,3
🏄,3
🎅,3
🍴,3
🐶,3
🎊,3
👑,3
ฯ,3
🎧,3
❥,3
弟,3
¯,3
,3
Í,3
🎵,3
🍞,3
🎤,3
ೋ,3
兄,3
¾,3
製,3
複,3
✞,3
∇,3
被,3
也,3
否,3
🔉,3
ד,3
🍉,3
📱,3
💎,3
æ,3
Ş,3
🍕,3
🍝,3
±,3
‏,3
🌸,3
☮,3
😶,3
🍔,3
♋,3
🔵,3
😵,2
✪,2
■,2
ɥ,2
》,2
｜,2
๑,2
ʃ,2
Ծ,2
≖,2
ं,2
남,2
ह,2
🔈,2
Ｂ,2
׳,2
♧,2
😕,2
💝,2
스,2
강,2
↨,2
◇,2
ﬁ,2
녀,2
💿,2
ิ,2
ě,2
ㅓ,2
ї,2
,2
🌊,2
◆,2
प,2
✖,2
÷,2
🐬,2
த,2
🐳,2
╹,2
இ,2
⃘,2
✺,2
À,2
வ,2
Φ,2
ė,2
🌈,2
🌴,2
가,2
👃,2
☐,2
타,2
ம,2
Ι,2
౪,2
ன,2
国,2
ż,2
💥,2
；,2
Ñ,2
∏,2
̭,2
🎀,2
󾌬,2
̃,2
✷,2
듀,2
🍦,2
𝖊,2
�,2
⁉,2
🍰,2
ã,2
🍢,2
➽,2
Ă,2
💑,2
ّ,2
🏃,2
🚶,2
ा,2
ϡ,2
,2
ذ,2
َ,2
ŕ,2
Ë,2
̈,2
🍊,2
🍏,2
😻,2
▽,2
💞,2
♦,2
🔨,2
💘,2
ツ,2
🔪,2
◠,2
⚡,2
▰,2
😨,2
゜,2
💁,2
🌄,2
🎣,2
🍟,2
👐,2
🍣,2
🍪,2
😔,2
（,2
）,2
Ӝ,2
𝖓,2
ま,2
⛄,2
だ,2
す,2
Ƹ,2
ん,2
Ｙ,2
よ,2
Ｆ,2
Ʒ,2
​,2
么,2
😛,2
人,2
ด,2
👯,2
た,2
💡,2
💷,2
𝖒,2
🍀,2
思,2
ɹ,2
₩,2
ى,2
ё,2
♯,2
個,2
👫,2
𝖎,2
！,1
˚,1
,1
或,1
🎸,1
🙋,1
フ,1
🔞,1
突,1
イ,1
ナ,1
☭,1
卐,1
然,1
È,1
ψ,1
📯,1
‰,1
💉,1
ｪ,1
ą,1
№,1
😖,1
😬,1
ǆ,1
👨,1
뉸,1
저,1
Ю,1
🎨,1
ㅠ,1
져,1
◞,1
◟,1
🏈,1
🎺,1
⚾,1
🎾,1
⛳,1
📩,1
나,1
壓,1
잘,1
🐻,1
제,1
ҫ,1
ĺ,1
ń,1
내,1
🐨,1
器,1
Ə,1
✗,1
變,1
銀,1
座,1
日,1
航,1
ホ,1
テ,1
ル,1
𝕶,1
𝖑,1
𝖛,1
𝖈,1
𝖐,1
𝖉,1
ϵ,1
϶,1
󾍛,1
Ż,1
〰,1
Ő,1
港,1
空,1
際,1
￦,1
Ά,1
,1
╢,1
╜,1
‼,1
◘,1
≡,1
⌠,1
🗽,1
田,1
🌃,1
−,1
🌺,1
👇,1
お,1
ご,1
ざ,1
成,1
🔋,1
마,1
트,1
🇳,1
조,1
ə,1
¦,1
🇪,1
🇫,1
🇷,1
🇨,1
ﬀ,1
唉,1
ʖ,1
資,1
料,1
圖,1
片,1
Э,1
車,1
،,1
一,1
͜,1
ज,1
🐽,1
⅞,1
⛅,1
👩,1
파,1
👿,1
,1
🌕,1
💫,1
Ð,1
₤,1
र,1
₦,1
ð,1
～,1
≦,1
≧,1
😲,1
🚙,1
आ,1
ै,1
ﷺ,1
쥬,1
选,1
👈,1
🐑,1
➕,1
👻,1
ヮ,1
😤,1
远,1
永,1
将,1
作,1
工,1
所,1
择,1
出,1
🍋,1
找,1
会,1
们,1
他,1
它,1
想,1
去,1
重,1
那,1
什,1
为,1
满,1
于,1
🍎,1
🍓,1
̑,1
ط,1
ʞ,1
ƃ,1
ɾ,1
🍭,1
,1
💳,1
♎,1
◥,1
◣,1
э,1
💏,1
🍸,1
︿,1
خ,1
🍮,1
أ,1
☹,1
😪,1
➡,1
🍱,1
🍙,1
🍘,1
🍜,1
🍲,1
🍨,1
🍧,1
🍫,1
🍩,1
关,1
道,1
知,1
潜,1
え,1
私,1
れ,1
そ,1
ظ,1
ث,1
ژ,1
ض,1
✽,1
☞,1
ろ,1
」,1
か,1
下,1
没,1
地,1
も,1
つ,1
し,1
名,1
改,1
「,1
み,1
き,1
や,1
ぼ,1
理,1
管,1
🌹,1
🐟,1
🐠,1
😧,1
上,1
界,1
世,1
个,1
这,1
在,1
‟,1
╝,1
╗,1
╔,1
ō,1
ē,1
ˈ,1
▅,1
▃,1
▂,1
🌽,1
👙,1
🍛,1
🍳,1
🐞,1
📻,1
🔌,1
🚿,1
🔧,1
🔩,1
🌅,1
̮,1
這,1
오,1
🔆,1
